Name,Contact,Address,Locality,City,Rating
Jay Jalaram Stationery & Xerox,+(91)-22-38524757 ; +(91)-9819676795 ; +(91)-9833770279 ; 24363825 ; ,Shop No 5 Chitrakut Building; Dadar West; Mumbai - 400028; Opposite I.t.i Girl School; Near Siddhivinayak Temple; Aagar Bazar,Ambarnath,Mumbai,0.5
Deepa Stationary,+(91)-9421411038 ; ,Shop No-03;Tulip Building; Godrej Hill Road; Kalyan City; Mumbai - 421301; Godrej Hill Gate,Ambarnath,Mumbai,0.0
New Maharashtra Stationery & Xerox,,Shop No 12 Mahavir Nagar D Wing; Manpada Road; Dombivli East; Mumbai - 421201; Opp. Icon Hospital,Ambarnath,Mumbai,0.0
Sagar Xerox & Stationery,+(91)-9867328935 ; ,Shop No.1; Pandurang Niwassubhash Road; Niwassubhash Road; Dombivli East; Mumbai - 421201; Near Maruti Mandir,Ambarnath,Mumbai,0.0
Prime Stationery Print,+(91)-22-38554076 ; 38554076 ; +(91)-9769990020 ; ,Shop No 5; Mantri Corner Chsl; Sayani Road; Prabhadevi; Mumbai - 400025; Opposite Motilal Oswal Tower,Ambarnath,Mumbai,5.0
Mahadev Variety Store,+(91)-9323749157 ; ,2; Kapleshwar Palace; Satramdas Hospital Road; Ulhasnagar No 4; Mumbai - 421004,Ambarnath,Mumbai,0.0
Monex Stationers,22664757 ; +(91)-9820566944 ; +(91)-22-38541469 ; 22662036 ; ,Shop No 13/D; Fairy Manor; Gunbow Street; Rustam Ji Marg; Fort; Mumbai - 400001; Opposite Asian Enterprises,Ambarnath,Mumbai,4.4
Aarav Stationers & Printers,+(91)-9167656678 ; +(91)-22-38552644 ; 26749934 ; 8796137663 ; 8692019019 ; ,Shop no.7;Parag CHS;Opp- Bank Of India; J. P road; Andheri West; Mumbai - 400053; Near Sports Complex,Ambarnath,Mumbai,4.4
Neon Stationers,+(91)-9881920497 ; ,Shop No. 5 Melbourne CHS; Yogi Dham Road; Kalyan City; Mumbai - 421301; Yogi Dham,Ambarnath,Mumbai,0.0
City Collection,+(91)-9820318579 ; +(91)-9022686442 ; 28548339 ; +(91)-22-38515800 ; ,Shop No-04;Ashiana Building; Asha Nagar; Kandivali East; Mumbai - 400101; Thakur Complex,Ambarnath,Mumbai,3.0
Mansi Xerox,+(91)-9221671457 ; ,Badlapur; Mumbai - 421503,Ambarnath,Mumbai,0.0
Alpha Graphics,+(91)-9769873473 ; +(91)-9769477699 ; +(91)-9930724555 ; +(91)-9920171555 ; ,Gala No 1; Singh Industrial Estate; Ram Mandir Road; Goregaon West; Mumbai - 400104; Near Movie Star Cinema;Next To Swastik Masala,Ambarnath,Mumbai,3.6
Nirmal International,+(91)-9821346243 ; 9820133063 ; ,2; Reti Bhavan; Subhash Road; Dombivli East; Mumbai - 421201; Opp To More Stores ; Dombivli West -421202,Ambarnath,Mumbai,0.0
Jayesh Stationery,+(91)-9003652831 ; ,Tisgaon Road; Kalyan City; Mumbai - 421301; Jimmi Baug,Ambarnath,Mumbai,0.0
Paras Stationery,,Shop No 4; Ulhasnagar No 3; Mumbai - 421002; Opposite Vithalwari Station,Ambarnath,Mumbai,0.0
Raj Trading,+(91)-251-2210093 ; 9820166964 ; +(91)-8655797595 ; ,Shop No. 7; Rani Mansion Building; Murbad Road; Kalyan City; Mumbai - 421301; Opposite Government Rest House,Ambarnath,Mumbai,0.0
Shree Enterprises,+(91)-9890246741 ; ,Shraddha Sagar Complex Shop No.27; Station Road Badlapur (E); Badlapur Ed; Mumbai - 421503; Near Ambika Hotel,Ambarnath,Mumbai,4.3
Shri Hari Collection,+(91)-22-38518703 ; +(91)-9819367479 ; +(91)-9820791345 ; 29209024 ; ,C1; Raja Cottage; Marol Military Road; Andheri East; Mumbai - 400059; Near Blossam Society,Ambarnath,Mumbai,4.1
Prajakta Book Centre,+(91)-9820007234 ; ,Omkar Apt.; Lal Chakki-Shiv Nagar; Ulhasnagar No 4; Mumbai - 421004; Nr. Holy Family School,Ambarnath,Mumbai,4.3
Neha Novelty And Stationery,+(91)-8424949802 ; ,Shop No.2; Gauripada Road; Kalyan City; Mumbai - 421301; Near Gauripada Lake,Ambarnath,Mumbai,0.0
My Choice Stationary,+(91)-9892639651 ; 9029822442 ; ,Chandresh Krishna; Shop No 22; Lodha; Dombivli East; Mumbai - 421203,Ambarnath,Mumbai,0.0
Skyline Computers,+(91)-9819072672 ; +(91)-9833665937 ; 27483555 ; +(91)-22-38547372 ; ,838; Panhale Nivas; M G Road And Tapal Naka; Panvel; Mumbai - 410206; Near Shani Mandir,Ambarnath,Mumbai,3.5
JVK Dev Digital Prints,62215707 ; +(91)-9819461835 ; +(91)-22-38545111 ; +(91)-9967268488 ; ,Shop No 1; Raj House; CST Road; Santacruz East; Mumbai - 400098; Near University Gate; Opposite Allahabad Bank; Kalina,Ambarnath,Mumbai,4.3
Ronak Stationery,+(91)-9833688530 ; ,station road; Kalyan City; Mumbai - 421301,Ambarnath,Mumbai,0.0
Time Collection,+(91)-9967317100 ; ,Shop no-1; Nandivali Road; Kalyan East; Mumbai - 421306; Near B.T. Gaikwad School,Ambarnath,Mumbai,0.0
Ekal Stationery & Xerox,+(91)-9673778008 ; 8879286383 ; ,Shop No.2;3;4 Swanand Complex; Station Road; Ambernath; Mumbai - 421501; Near Railway Station,Ambarnath,Mumbai,0.0
Apeksha Stationery And Xerox,+(91)-22-38586098 ; 26513607 ; +(91)-9221378983 ; ,Shop No 16; Mig Colony; Bussines Plaza; Bandra Kurla Complex; Bandra East; Mumbai - 400051; Opposite Hall Mark; Muncipal Market,Ambarnath,Mumbai,4.0
Chaitannya Stationary & General Store,+(91)-9604600200 ; ,21/150; Maharashtra Housing Board; Sham roa patil nagar; Mumbai - 421501; Nr. Water Tank,Ambarnath,Mumbai,0.0
Saheli Book Depot,+(91)-7045306111 ; ,Maruti Darshan Shop No. 01; Station Rd.; Thakurli; Mumbai - 421201; Opposite Hanuman Temple,Ambarnath,Mumbai,0.0
Shingar,+(91)-251-2699176 ; ,Shop No-6 Nehasagar Apartment; Station Road; Badlapur; Mumbai - 421503; Near Parivar Hotel,Ambarnath,Mumbai,0.0
J J Stationery & Xerox,+(91)-7208008688 ; +(91)-9987048278 ; ,Shop No 3 A; Yashovanarayan Building; Station Road; Panvel; Mumbai - 410206; Near Sonu Authorized Service Center,Ambarnath,Mumbai,3.5
Neha Stationery And Genaral Store,9820526256 ; +(91)-9324345491 ; ,Shop No.13;Sanghvi Estate; R. T. O. Road; Kalyan City; Mumbai - 421301; Near Icon Plaza,Ambarnath,Mumbai,4.5
Madhavji Harjibhai & Co,+(91)-9967654586 ; +(91)-251-2212346 ; ,Shop No 2; Shankarrao Chowk; Kalyan City; Mumbai - 421301; Nr Gkb Eye Care,Ambarnath,Mumbai,5.0
Atul General Stores,+(91)-251-2430910 ; ,Dombivli East; Thane; Station Road; Dombivli East; Mumbai - 421201,Ambarnath,Mumbai,1.0
Navneet Book Depot,+(91)-9619593526 ; ,St. Joseph Colony; Karnik Road; Kalyan City; Mumbai - 421301; Near Holy Cross School,Ambarnath,Mumbai,0.0
Jai Ambe Stationery & Computer,40110148 ; 64465486 ; 64465485 ; +(91)-9930004431 ; +(91)-9920995473 ; +(91)-22-38569167 ; ,C/O Citi Mall; Shop No 125; 1st Floor; Link Road; Andheri West; Mumbai - 400053,Ambarnath,Mumbai,4.3
Perfect Digital Print,+(91)-9987049981 ; +(91)-8898409867 ; +(91)-9987050767 ; ,Shop no 4; M V Road; Chakala-Andheri East; Mumbai - 400093; Opp Apple Heritage,Ambarnath,Mumbai,3.8
Prabhat Book Stores,+(91)-9819845026 ; ,Shop No 18; Everest Tower; Karnik Road; Kalyan City; Mumbai - 421301; Near Lourdes High School,Ambarnath,Mumbai,0.0
Kiran Rubber Stamp,+(91)-251-2322750 ; +(91)-9820174758 ; ,Shop No 3 Suyash Plaza; Station Road; Kalyan; Mumbai - 421304; Near Hotel Deepak Opp Girish Wines Behind Bapuji Farsan,Ambarnath,Mumbai,5.0
Nahar Enterprises,+(91)-251-2443876 ; ,11 Prem Saga Bldg; Dr R P Road; Tilak Nagar-Dombivali East; Mumbai - 421201; Raghuvir Nagar,Ambarnath,Mumbai,0.0
Comsap Stationery & Print,+(91)-9819721613 ; ,Shop No 76 A Kamdhenu Shopping Centre; Lokhandwala Complex; Andheri West; Mumbai - 400053; Near Dominos Pizza,Ambarnath,Mumbai,4.6
Sadguru Stores,+(91)-8692995783 ; ,Arey Road; Dombivli East; Mumbai - 421201; Near Swami School;Datta Nagar,Ambarnath,Mumbai,0.0
Rudved Satationery And General Store,+(91)-9819177874 ; ,Shop No 5 (opp-Raigard Bldg.); Station Road; Ambernath; Mumbai - 421501; Shivaji Nagar,Ambarnath,Mumbai,0.0
Mahavir General Store,+(91)-22-38516534 ; +(91)-9869252463 ; 25284277 ; ,Shop No 10; N G Acharya Marg; Chembur East; Mumbai - 400071; Below Rajhans Hotel; Near Saroj Hotel; Opposite Railway Station,Ambarnath,Mumbai,4.0
Aarya Stationery & Xerox,+(91)-7666332835 ; ,Shop no. 11 Nebula Darshan; Wayale Nagar; Kalyan City; Mumbai - 421301; Near Poddar School,Ambarnath,Mumbai,4.0
Balaji Xerox & Stationery,+(91)-9022481820 ; ,Shop No. 103/6; Tawri Pada ; khadakpada; Godrej Hill Road; Kalyan City; Mumbai - 421301; Near Shiv Mandir,Ambarnath,Mumbai,0.0
Manohar Traders,+(91)-9322187069 ; ,Barak No. 1084/18; OT Section; Ulhasnagar No 3; Mumbai - 421002; Opposite Sai Kutir Apartment; Near Dharamdas Darbar,Ambarnath,Mumbai,0.0
Patni Stationery Stores,+(91)-8291157401 ; ,Shop No.5; Richa CHS; Barave Road; Kalyan City; Mumbai - 421301; Opposite State Bank of India,Ambarnath,Mumbai,0.0
Navneet Book Depot,+(91)-7004787251 ; ,Shop no. 3; Chikanghar Road; Kalyan City; Mumbai - 421301; Near Holly Cross School,Ambarnath,Mumbai,0.0
Adinath Stationary And General Stores,9702785456 ; +(91)-8109077001 ; ,Shop no. 5; Parishram Building; Station road; Shahad; Mumbai - 421103,Ambarnath,Mumbai,3.5
Satyam Collection,9922114688 ; +(91)-9821563206 ; ,Shop 3 Modi Apartment; L T Road; Dombivli East; Mumbai - 421201; Dombivali West,Ambarnath,Mumbai,0.0
Sachin Agency Stationery,+(91)-9324095611 ; +(91)-251-2445673 ; 8425895611 ; ,Aakardeep Soc. Shop No. 10-11; Agarkar Rd.; Dombivli East; Mumbai - 421201; Opp. Aaditya Mangal Karyalaya,Ambarnath,Mumbai,0.0
Om Laxmi General Stores,+(91)-9892958271 ; ,Shop No.54/115 B; Murbad Road; Kalyan City; Mumbai - 421301; Opp.Central Railway School,Ambarnath,Mumbai,0.0
Pragati Stationery & Xerox,+(91)-7738904142 ; ,Shop No 10; Madhushilp Housing Society; Manpada Road; Dombivli East; Mumbai - 421201; Opposite Kohinoor Showroom,Ambarnath,Mumbai,4.0
Mamta book Depo,+(91)-9619292271 ; ,Shop no.3 Pandurang Krupa bldg; subash road; Dombivli West; Mumbai - 421202; near Arnold gym,Ambarnath,Mumbai,0.0
Mukesh General Stores,+(91)-9892498411 ; ,Phalke Chawl; Rambaug Lane-02; Kalyan City; Mumbai - 421301; Rambaug,Ambarnath,Mumbai,0.0
Geet Xerox & Stationery,+(91)-7208386294 ; ,Shop No 01; Om Digambar; Tilak Chowk Road; Kalyan City; Mumbai - 421301; Opposite Janata Bhavan,Ambarnath,Mumbai,0.0
Shree Ganesh Stores,28051251 ; +(91)-9820157587 ; 28052003 ; +(91)-22-38536660 ; ,10/11 Laxmi Bhavan; S V Road; Borivali West; Mumbai - 400092; Opposite Thakkar Shopping Mall; Near Railway Station,Ambarnath,Mumbai,4.1
S K Multi Communication,9422478799 ; +(91)-9867673105 ; 8983444804 ; +(91)-251-2567951 ; ,Shop No-3A; Ratan Shopping Center; New Link Road; Ulhasnagar No 2; Mumbai - 421002; Near Hira Marrige Hall,Ambarnath,Mumbai,5.0
Rajyog Enterprises,+(91)-9920900889 ; ,Shop No 4; Tisai Darshan Buiding; Pune Link Road; Kalyan East; Mumbai - 421306; Vijay Nagar,Ambarnath,Mumbai,0.0
Angel Stationery & Zerox,+(91)-9892469283 ; ,Shop No 4; Vishweshwar Darshan Building; Manpada Road; Dombivli East; Mumbai - 421201; Opposite K D Aggrawal Hall,Ambarnath,Mumbai,0.0
Ganesh Stationery & Xerox,+(91)-9768698686 ; 9769604513 ; ,Shop No. 2; Boir Chawl; Birla College Road; Kalyan City; Mumbai - 421301; Besides Birla College,Ambarnath,Mumbai,4.0
Aaijee Stationery And Gift Articles,8828331489 ; +(91)-9967651952 ; ,Shop No.6 Amrut Park Building No.1; Khadakpada road; Kalyan City; Mumbai - 421301; Near Ravi tour and travels,Ambarnath,Mumbai,0.0
Shree Samarth Krupa Stationary,+(91)-9970233386 ; ,Shop No-5;Bebika Palace; Adarsh Road; Badlapur; Mumbai - 421503; Near Adarsh School,Ambarnath,Mumbai,0.0
Login Jumbo Xerox,8097663322 ; +(91)-9819525264 ; ,D - 2; Flower Valley; Khadakpada-Kalyan City; Mumbai - 421301; Near Gurudev NX Hotel; Khadakpada,Ambarnath,Mumbai,3.4
Raj Books & General Store,+(91)-9769048062 ; ,Shop No 6; Takshina Apartment; Kalyan Ambernath Road; Kalyan City; Mumbai - 421301; Opposite Railway Corter,Ambarnath,Mumbai,3.5
Ekvira Enterprises,+(91)-251-2620983 ; ,Shop No.17; Add. MIDC ; Anand Nagar; Ambernath; Mumbai - 421501; Near Jai Shankar Canteen,Ambarnath,Mumbai,0.0
Survana Shungar,+(91)-251-2203713 ; ,Kalyan; Mumbai - 421304; Shivaji Chowk Near Hotel Gurudev,Ambarnath,Mumbai,0.0
Jai Jogeshwari Stationery & Xerox,+(91)-8080388311 ; ,Shop No.3;Jankalyan Housing Soctety; Pune Link road; Kalyan East; Mumbai - 421306; Opp.Hotel Malvan,Ambarnath,Mumbai,0.0
Mauli Book Depot,+(91)-9029867776 ; ,Shop No. 1; Chikanghar Road; Kalyan City; Mumbai - 421301; Opposite Alishan Park ; Near Chatri Bunglow,Ambarnath,Mumbai,0.0
Pooja Stationery & Xerox,+(91)-9833383288 ; ,Shop No.4 flower valley; Khadakpada Road; Kalyan City; Mumbai - 421301; Opp. Gurudev Nx,Ambarnath,Mumbai,0.0
Gloming Stationery and Xeroxs,+(91)-9930701895 ; 7666288820 ; ,Shop No. 4 manjushree building; Manpada cross road; Dombivli East; Mumbai - 421201; Near Relaince store,Ambarnath,Mumbai,3.5
Jinaam Stores,+(91)-9819959025 ; +(91)-8879329564 ; ,Arm Avenue; Shop No 9; Plot No 12; Sector No 20; Kharghar; Mumbai - 410210; Near Jalavayu Vihar,Ambarnath,Mumbai,4.0
G B Vichare And Company,+(91)-22-38546543 ; 24306749 ; +(91)-9892726634 ; +(91)-9987746444 ; ,Shop No 8; Radhakrishna Apartment; Vachnalaya Marg; Dadar West; Mumbai - 400028; Opposite Chhabildas Primary School,Ambarnath,Mumbai,4.2
Satguru Stationery,+(91)-8879385940 ; ,Shop No 8 Om Shanti Bunglow; P& T Road; Dombivli East; Mumbai - 421201; Near Hanuman Mandir,Ambarnath,Mumbai,0.0
Dhruv Traders,+(91)-9930881143 ; ,Shop no . 7; Trimurti apt.; Zunzar rao; Kalyan City; Mumbai - 421301; Near Kalyan market,Ambarnath,Mumbai,0.0
Shree Gajanan Stores,+(91)-251-2693955 ; ,Shop No-5;Vikrant Apartment; Katrap Road; Badlapur; Mumbai - 421503; Near Shivam Apartment,Ambarnath,Mumbai,0.0
